	Gene ID	Adj P-value (Real)	Rank (Real)	Test statistic (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean test statistic (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
PAX7	PAX7	5.94732711386004e-13	17567.0	10.6941243975185	0.09344723730031801	12395.0	0.7367195024685752	0.626894729551377	25	15.88369534096373
PRAME	PRAME	2.9632818533371896e-15	17566.0	8.66496299445091	8.12816053451405e-05	14911.0	1.321843423932025	1.0722396381463848	25	6.848394061623363
SLCO1B3	SLCO1B3	0.0005290791571027559	17565.0	8.32567155901911	0.027025261919613002	14926.0	1.1939223670216859	1.0077534926917922	25	7.076878664987742
KCNC2	KCNC2	1.98423293255158e-10	17564.0	8.23084438600122	0.0182066114780935	13818.0	1.2234292584506248	1.2179596290559873	24	5.753405088625049
HOTAIR	HOTAIR	3.11570856452004e-10	17563.0	8.22842028257687	1.36416413769393e-06	16366.0	1.899139749589045	1.462284889153386	25	4.328349817423243
HOXB13	HOXB13	2.88187433122816e-07	17562.0	8.19796498423657	0.0006013442611292809	15573.0	1.3189959392986312	1.0757106462806596	25	6.394813576236721
PADI3	PADI3	3.65384935660127e-10	17561.0	8.12594340875217	1.2399200782901596e-06	16713.0	1.8276746935582688	1.1057749218010544	24	5.695796306300257
HOXC12	HOXC12	3.15967332784659e-08	17560.0	8.059173365793379	0.01597889812599675	14095.0	1.2050353358638728	1.2508143845593478	24	5.479740331211626
HOXC13	HOXC13	3.3257653314820097e-10	17559.0	8.00656640517351	1.3241081073190024e-06	16304.0	1.705220008595617	1.343871252819802	24	4.688950956690218
HOXC11	HOXC11	2.8326334024137e-10	17558.0	7.7655142202497105	8.530787323034241e-09	16351.0	1.8175484679822385	1.4745515740926638	25	4.033745483556542
SPP2	SPP2	4.68254900545497e-05	17557.0	7.70515423679875	0.0575269397658078	16075.0	1.5037721509167266	1.1119058342578776	20	5.5772547411994005
CHRM2	CHRM2	5.9580523351974e-17	17556.0	7.410443835718019	3.51204314259579e-10	17077.0	2.448968149770427	1.6811465464863498	25	2.9512452060275387
BPIFB2	BPIFB2	2.31232731037187e-11	17555.0	7.21504500993132	0.0695464384289747	13077.0	0.9013877378785905	0.7539183167644521	24	8.374457990553525
ISX	ISX	1.6976743441483602e-08	17554.0	7.211308789254019	0.0030638079500622103	15435.0	1.51683471345758	1.4227160940452377	25	4.002537188994063
HOXB9	HOXB9	7.79090359204411e-14	17553.0	7.1977976361553	6.83534532549082e-05	12476.0	1.3955385007938117	1.3886613794064728	25	4.178311013331004
ANKS4B	ANKS4B	7.875039224843799e-11	17552.0	7.04236123235842	0.00560704626389937	15837.0	1.4951850983631345	1.3087250779701185	25	4.238610711578296
KRTAP4.1	KRTAP4.1	2.5672857037349103e-09	17551.0	7.01949818912511	0.00970794903984785	17406.0	2.2738185926635204	0.9234710516487922	21	5.138958701508309
CDX2	CDX2	1.5139962750393802e-09	17550.0	6.9988461368970505	0.00801561425729461	14182.0	1.4352053988992417	1.271571818763049	25	4.375404248428508
COL11A1	COL11A1	2.4640534462752998e-20	17549.0	6.96677736228687	0.0028689140698150302	14769.0	1.2240094109780753	0.8668647781228537	25	6.624756359053406
ZIC4	ZIC4	2.66118098807192e-08	17548.0	6.95783555668938	0.0443357045496676	13279.0	0.8537360570570155	0.6675025012153479	24	9.144684085105887
TFAP2D	TFAP2D	2.8624149309642797e-05	17547.0	6.899854195126059	0.000683945599391493	17366.0	2.064851716199683	1.192552239377877	24	4.054331809773523
SERPINA4	SERPINA4	1.7168354209206197e-09	17546.0	6.88923242223008	0.023146200024637003	15979.0	1.3807667715861107	1.0294621348044286	25	5.350819097091352
ITLN1	ITLN1	6.66937277875587e-22	17545.0	6.87233769110184	1.6712560083747902e-09	17042.0	2.104061301394232	1.7075787195379966	25	2.7924196613305856
UGT2B15	UGT2B15	1.67487548664508e-12	17544.0	6.8475341595369805	0.009297726006470929	15301.0	1.2504521734365175	1.218597051633099	25	4.593053937394277
CEACAM7	CEACAM7	1.0033543421817e-15	17543.0	6.79978344687214	0.000858537100153268	16337.0	1.6986630033315782	1.2616443536033304	25	4.043231699148387
HOXC10	HOXC10	8.25269966889568e-14	17542.0	6.74014999495701	4.75904599154765e-06	13059.0	1.2826196462227357	1.2783991696606036	25	4.269034647592245
LY6D	LY6D	2.5162014194697298e-23	17541.0	6.73655625682595	0.03774801856471201	13591.0	0.9161741276458574	0.8285144069852758	25	7.025082581676255
TRPM8	TRPM8	2.7454206203983297e-09	17540.0	6.732551116871161	0.004552907507029025	14541.0	1.282171156890867	1.1327072476605151	24	4.811816973218338
DMRTA2	DMRTA2	2.01831365570448e-17	17539.0	6.71489464508607	0.00594755300147232	14148.0	1.1314515615510372	1.0878152742225713	25	5.132712525594339
FUT9	FUT9	1.1737735272588398e-10	17538.0	6.714464257316941	4.23381486784346e-05	15050.0	1.5813690999658165	1.486761990624701	25	3.45253321629128
GLB1L3	GLB1L3	2.5852606944541897e-24	17537.0	6.662838955854981	1.4665567987148301e-05	15293.0	1.1613927820600596	0.8603880452312018	25	6.394145297912157
CALML5	CALML5	4.76232227292187e-06	17536.0	6.5119108227849605	0.0422345092738933	14315.0	1.0729461997256424	0.8531454501090164	24	6.375190329344566
CLDN10.AS1	CLDN10.AS1	5.43576896687156e-06	17535.0	6.365803473513969	0.0138455170558754	16330.0	1.5826430558511257	1.2992888801271651	23	3.681367931968064
KRT75	KRT75	1.41135290825553e-09	17534.0	6.34582118603895	0.000165401602181817	15487.0	1.6329542896841314	1.3580325182095976	24	3.4703638043720533
SLC28A2	SLC28A2	8.4414911770569e-14	17533.0	6.34141065957832	0.00102508745753239	16592.0	1.5996226774771622	1.2060886225021727	25	3.931541922900956
SLC6A4	SLC6A4	5.654406164441791e-16	17532.0	6.31916240717883	9.124672238232088e-40	17580.0	3.6095838940221983	1.7149138087917826	25	1.5800085690986565
GCNT3	GCNT3	1.6599893739573797e-24	17531.0	6.29151081187117	8.92857843881729e-05	15355.0	1.5338975489713342	1.2065888914811256	25	3.943027568453508
SPINK1	SPINK1	2.27401233973369e-10	17530.0	6.248112985238611	0.0410073970386029	15384.0	1.3097760768165712	1.224191827188696	25	4.033956769473554
IBSP	IBSP	3.2226808418920803e-16	17529.0	6.2161768158842	0.0757068069687886	13724.0	1.087767339618759	0.9614284969032164	25	5.334155886562721
TINAG	TINAG	0.000300717522308483	17528.0	6.18751448494416	0.00412727189552899	16030.0	1.669857724036181	1.3208891587083775	25	3.420163403661772
HABP2	HABP2	2.1162138358641497e-30	17527.0	6.16851483339925	0.00184434363968255	14966.0	1.1154995545430668	0.6268975237842584	25	8.06035290800596
ZPLD1	ZPLD1	5.403802025140871e-13	17526.0	6.157751865016871	0.0379827313282799	12846.0	0.7773098065878344	0.5115544725233617	23	10.517828202906234
PADI1	PADI1	1.26757884790452e-23	17525.0	6.1529594985731695	0.005308349705596904	15067.0	1.4150250012776613	1.1731570285386417	24	4.038619197634078
LINC00491	LINC00491	8.273528094228721e-11	17524.0	5.9888764157735395	0.43223696585037	12388.0	0.9222730398218124	1.0245082616157026	23	4.945400213719537
UNC93A	UNC93A	3.10979108795986e-07	17523.0	5.98385886722991	0.0360054685670946	13443.0	1.426532347453047	1.3479974479243537	25	3.380812424232875
SPRR1A	SPRR1A	0.00859602476041419	17522.0	5.97116550473258	0.0762055854324599	13843.0	1.1209901259498294	0.9782950191119374	24	4.957783985433733
ABCA12	ABCA12	1.5306411790996998e-45	17521.0	5.96283271860105	3.8289618739451296e-14	17369.0	2.210761687159871	1.1718898448121866	25	3.201726722055951
B3GNT6	B3GNT6	1.6619994180078102e-12	17520.0	5.90051100106667	1.77335983048532e-05	17069.0	1.8112983006101826	1.2597422611686762	25	3.2460709039505287
MUC3A	MUC3A	3.28377166455252e-21	17519.0	5.89996322751567	0.0225270302013327	14269.0	1.0591091517854585	0.9549917241835291	25	5.069001074191406
KLK6	KLK6	4.40785450319073e-09	17518.0	5.873593524456449	0.00018439651152796498	16265.0	1.7481122820598238	1.4447931471322617	25	2.8554130745880153
SALL1	SALL1	9.609782909227209e-11	17517.0	5.859392769411451	2.0403158877844798e-08	16598.0	1.5744506364072073	1.044302061515613	25	4.103163529894249
EEF1A2	EEF1A2	2.3876555347177896e-15	17516.0	5.85931166434706	0.0004922174482177691	15887.0	1.360801618449863	1.0883717441576977	25	4.133247734558417
BBOX1.AS1	BBOX1.AS1	1.8446670225360603e-12	17515.0	5.85769701242803	0.0289777747354144	11338.0	1.2412425800321998	1.510695882396841	25	3.055846306452793
TMPRSS11E	TMPRSS11E	1.0860491203072301e-17	17514.0	5.85286097016626	0.0904238253970784	13248.0	0.9197052161779117	0.8485841473264287	25	5.813396078080031
SLCO6A1	SLCO6A1	1.7380161100035097e-09	17513.0	5.8413415486156905	0.330393211521917	15006.0	1.2105755765021204	1.0762952409524735	21	4.302505294007942
NRAP	NRAP	5.1795226122946904e-20	17512.0	5.81490751461054	0.00039090658276998	14803.0	1.0675870207870966	0.7734651717890149	25	6.137730135725378
HOXA13	HOXA13	2.20956093047419e-05	17511.0	5.7934692890689	0.0028047040788577197	13117.0	0.9329319445437091	0.8448950120070347	25	5.752829967570837
BARX1	BARX1	7.5850348288535e-10	17510.0	5.76268379679017	1.24195901601269e-07	16183.0	1.7317570542992482	1.4410057071275002	25	2.79730102563311
MNX1.AS1	MNX1.AS1	1.78177279768381e-14	17509.0	5.76109688962159	0.00143232937869856	14381.0	1.3692043112301255	1.3582015363450266	25	3.233608901820432
GLYATL2	GLYATL2	4.04721721539746e-06	17508.0	5.73229337692925	0.001382183237915344	16079.0	1.311186620098824	0.9531583473457063	24	4.638375952056695
C11orf86	C11orf86	1.20519562145518e-06	17507.0	5.64998720830847	0.00135977746328234	16086.0	1.7479044371992492	1.387593897578855	25	2.812121599783463
SYT12	SYT12	1.42618421594819e-17	17506.0	5.6132444727223705	1.06528287004808e-06	15924.0	1.3904144932192823	0.9106882836163339	25	4.636965310165486
CA10	CA10	4.14559943234742e-13	17505.0	5.60032130546754	0.00658572839282965	15439.0	1.2314204872585464	0.8279639691055102	25	5.276679881286296
FCN3	FCN3	9.295435804933721e-28	17504.0	5.5835133533078	1.13583905889393e-27	17601.0	4.1301571752095345	1.7255455342433945	25	0.8422589547806533
LINC01395	LINC01395	8.07708342457138e-06	17503.0	5.582157490934219	0.136608466666123	17010.0	1.7276627467851808	1.0044762566694128	19	3.837317924198189
COL10A1	COL10A1	7.767369637357559e-26	17502.0	5.54152277862	0.0023048129192287303	15566.0	1.1688241426030606	0.8752015250698639	25	4.9962191686856166
CLEC4M	CLEC4M	1.32586979300933e-12	17501.0	5.51044379089475	2.8819859393438e-08	17356.0	2.253333614174459	1.297060655228121	25	2.511147156913372
LY6G6E	LY6G6E	1.25181713760383e-06	17500.0	5.50925116301255	0.0528306747808922	16105.0	1.5784670932910152	0.8551632777864836	23	4.596530477660395
MUC5AC	MUC5AC	1.28664585976231e-06	17499.0	5.4854807991336	0.0018973700867841398	15647.0	1.2868007722154937	0.9187412992268074	25	4.570035145314164
PRAC2	PRAC2	6.6738990656944e-05	17498.0	5.47419916396309	0.0609445130727723	14838.0	1.1813453792510415	0.9831392215974014	23	4.366475968415779
FAM83A	FAM83A	4.4146147182917495e-18	17497.0	5.469167352010929	0.000152742994956384	14789.0	1.4348665860312722	1.147568654167973	25	3.5155201837616112
UBE2U	UBE2U	4.03265410454172e-06	17496.0	5.45076233813424	0.143133842074608	14816.0	1.2235681733960122	0.9802146319358812	16	4.312518939234464
SERTM1	SERTM1	2.5175816158100697e-40	17495.0	5.431274138186329	2.49500808308976e-29	17587.0	3.5716717037707086	1.8295765773304438	25	1.0164113694158612
PLAC1	PLAC1	2.19008430211097e-08	17494.0	5.427931350885099	0.0006160247001038953	14666.0	1.3965484405451054	1.451367179039674	24	2.777645084276632
CA4	CA4	1.02775130441917e-34	17493.0	5.41728040920267	0.00296396166345823	14490.0	1.346894501608376	1.4043327793046714	25	2.8984482649544563
CEACAM5	CEACAM5	3.08181583784251e-26	17492.0	5.38576274608689	6.723703119169439e-06	16622.0	1.6238574790588425	1.0135124491547722	25	3.711750428093233
SPP1	SPP1	2.03076482627358e-13	17491.0	5.35395364717067	0.000994584590607251	14476.0	1.0782812413898837	0.778336649321464	25	5.4933458542755496
PDX1	PDX1	3.1159876819112097e-06	17490.0	5.34030029576666	0.000860646311593768	15169.0	1.5738854983865245	1.3848933881732062	25	2.71964241402608
COL2A1	COL2A1	3.14228549074726e-13	17489.0	5.334047916709469	0.000675019684640009	13242.0	0.9505507484585327	0.7661917272436514	25	5.721149175051027
IL1RAPL2	IL1RAPL2	4.1013538958652005e-09	17488.0	5.31708363300073	2.4673734798081897e-05	16187.0	1.4319967498120887	0.9210388315105513	25	4.218157530684019
KRT24	KRT24	1.08934411318962e-05	17487.0	5.31584137465879	0.0529444490341992	15111.0	1.0821626955986667	0.840359499855021	24	5.037937549097164
TMPRSS4	TMPRSS4	1.7670264728779602e-25	17486.0	5.25549635724334	1.24834225071149e-14	17323.0	2.3060284200665664	1.0571233815927723	25	2.7900886391641415
EFNA2	EFNA2	1.34145890974534e-08	17485.0	5.25491275955147	0.0180485925172938	11959.0	1.1914132632664294	1.2615097108279538	25	3.221140084302708
MOGAT2	MOGAT2	4.281321941757461e-09	17484.0	5.25456802120652	0.00287869923634087	15888.0	1.3972114864843102	1.1429028228458145	25	3.3750520670842667
LINC01082	LINC01082	8.61357298533357e-11	17483.0	5.20641764388849	0.0010490006694571364	16222.5	1.784334126252792	1.5112020796349008	25	2.2644777715383086
IGF2BP1	IGF2BP1	3.2035160639305393e-09	17482.0	5.18465091470193	2.0088071085858e-11	15847.0	1.251615071847103	0.9084970141105486	25	4.329167605141125
CLDN6	CLDN6	2.25120744880419e-08	17481.0	5.156667558203231	5.5180646767264704e-06	16557.0	1.357548552011796	0.7942953926598055	25	4.7830052160690135
ATP10B	ATP10B	4.0162584122134105e-30	17480.0	5.138733495824071	1.1675210760953501e-06	15966.0	1.5492064175675546	1.1800120792840285	25	3.0419409608369934
SOSTDC1	SOSTDC1	2.654380075242e-12	17479.0	5.11101746076986	1.82020594523756e-06	14658.0	1.4129714079763829	1.53822706411757	25	2.404096338608451
CRABP1	CRABP1	0.000637247809902698	17478.0	5.11092253877319	0.00129849973976672	13749.0	0.8670041618635425	0.596981517331145	25	7.108961087911789
TAS2R38	TAS2R38	9.75024852914367e-05	17477.0	5.10441504678316	0.13264914847333548	17416.0	1.979681443329416	0.8654043666185598	19	3.6107208652796388
CSF3	CSF3	2.07350119353046e-25	17476.0	5.09552800087706	1.21978759139997e-06	17393.0	2.4481522939443385	1.4009599172339597	25	1.8896869741710183
SCGB3A1	SCGB3A1	1.83572394311616e-09	17475.0	5.08555078144705	0.0101015657392589	15513.0	1.3009273858847425	1.0297342485558882	25	3.6753399247134966
LINC00461	LINC00461	2.70743973998964e-09	17474.0	5.0829147006695	4.37164136928208e-07	16910.0	1.7836791997882786	1.200681937132095	25	2.7478013942323933
TMEM100	TMEM100	2.3585491528444402e-26	17473.0	5.06488295023667	3.0439643403195497e-40	17594.0	3.6369524713859493	1.6505799117622046	25	0.8651083589925812
KIF1A	KIF1A	1.39796817306613e-09	17472.0	5.058121256977111	0.000409275106521149	15126.0	1.1310843190897162	0.9600071454382476	25	4.090633029710091
SLCO1B1	SLCO1B1	0.0156672879800725	17471.0	5.0529259351896	0.007420302801074659	15885.0	1.5210848688445886	1.118339441329317	23	3.158111871782756
OFCC1	OFCC1	0.00306992300115832	17470.0	5.04001364578583	0.0233061021555539	17174.0	1.9950068598586288	0.8927456747607362	24	3.4108334232403763
TM4SF4	TM4SF4	3.80530238917906e-08	17469.0	5.03255225052351	0.000128071886439359	15444.0	1.7748037443500664	1.6649486049145967	25	1.9566661076247154
