	Gene ID	Adj P-value (Real)	Rank (Real)	abs(log2FoldChange) (Real)	log2FoldChange (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean abs(log2FoldChange) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
MS4A12	MS4A12	1.67736924959987e-18	16293.0	11.308590582995999	-11.308590582995999	0.18646901492821102	16895.0	3.4640708166471486	4.06234261100683	17	1.9310335236359168
ZNF71	ZNF71	2.20873525334529e-18	16292.0	11.2962366807284	-11.2962366807284	0.636348850650647	100.0	0.6971387599635824	0.9286092524363748	25	11.41394821660043
PCDH17	PCDH17	2.2459844986217404e-16	16291.0	10.7219387919556	-10.7219387919556	0.212777787044939	4599.0	1.395355426341654	1.7625746276982956	25	5.291454454778638
ZNF334	ZNF334	6.48881961124385e-16	16290.0	10.5078638380705	-10.5078638380705	0.379069615685848	4822.0	1.0945252044862137	1.2290511098521764	25	7.659029439968914
GABRG1	GABRG1	1.3957893075289401e-05	16289.0	10.0101669009156	-10.0101669009156	0.439996837949324	11226.0	1.793178514946843	1.7066671339461341	23	4.814640314171598
ECEL1	ECEL1	1.52525684669453e-13	16288.0	9.815155149611241	-9.815155149611241	0.0798864469281246	15388.0	3.388158736501598	4.028529398267835	24	1.5953703641515158
MYH13	MYH13	7.966230007762741e-13	16287.0	9.54645924708438	-9.54645924708438	0.42457721146129707	11111.0	1.6066071532154012	1.3960657344285816	23	5.687305331019251
SFRP1	SFRP1	3.84894183068819e-12	16286.0	9.502632478290321	-9.502632478290321	0.464613527938134	9808.0	2.1696151954679106	2.5063562752701953	25	2.925768118114765
THSD7A	THSD7A	6.1491149920526505e-12	16285.0	9.45120326296391	-9.45120326296391	0.335007889650892	8533.0	1.2987424837626966	1.2403206181137423	25	6.57286564469059
TAGLN3	TAGLN3	2.28826702490073e-12	16284.0	9.42417321928764	-9.42417321928764	0.419756597069053	12475.0	2.347016597166395	2.555773314988085	25	2.769086202057885
MIR99AHG	MIR99AHG	7.51423692288974e-36	16283.0	9.277751597921421	-9.277751597921421	0.238707450327685	13980.0	1.5935698171260297	0.9966415626165104	24	7.710075586875886
LINC00662	LINC00662	6.629343880106889e-11	16282.0	9.10156786739573	-9.10156786739573	0.0719957383506193	12031.0	1.376990104924689	0.835720132420297	25	9.243019837394833
USH1C	USH1C	1.57254516452836e-15	16281.0	9.08783644264831	-9.08783644264831	0.0829913408501413	14902.0	2.470540827982025	2.2683082405530173	24	2.917282358879487
PRICKLE2	PRICKLE2	1.6697274522072e-11	16280.0	8.99183235278927	-8.99183235278927	0.327175159375732	8487.0	1.5302230274161965	1.7282147834114647	25	4.317524301374156
TCF15	TCF15	2.98006317313389e-11	16279.0	8.988289034863131	-8.988289034863131	0.34295899516046396	13799.0	1.6800270735003278	1.2522688643074706	25	5.836016665162729
