	Gene ID	Adj P-value (Real)	Rank (Real)	abs(log2FoldChange) (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean abs(log2FoldChange) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	abs(Z score)
MAGEA4	MAGEA4	8.86233942383155e-11	16293.0	8.84366452594143	0.0126153414740617	15210.0	2.8438493864801893	3.0750748621031194	21	1.9511118943484256
TCN1	TCN1	1.61612940150364e-06	16292.0	7.568663269320671	0.117466230376119	17090.0	3.1103800011434313	2.559289853528255	24	1.742000134150893
SEMA5A	SEMA5A	1.8493377329076e-39	16291.0	7.3467973022388895	0.600609144848384	11442.0	1.9625621561541617	3.081101615030525	25	1.747503269551006
WNT7A	WNT7A	3.6201927526689795e-33	16290.0	7.1391049628871395	0.16657505750507098	15074.0	2.182580359613921	2.5039982587475893	25	1.9794441094189479
CXCL10	CXCL10		16289.0	7.068628704106111	0.278079139657281	13153.0	2.156932541414092	2.319243443652023	24	2.117801033839622
CRCT1	CRCT1	9.123063044742908e-23	16288.0	6.90877254522372	0.0531306995175982	16366.0	3.2748624732291707	3.0419633022861494	23	1.1945936590568105
TH	TH	1.8691433586400301e-07	16287.0	6.77285480758139	0.011638100653688114	16534.0	2.9685182610303453	3.316533982072691	24	1.1470820341703534
PDE10A	PDE10A	2.7793433617103002e-05	16286.0	6.77148799264125	0.346278391041531	8457.0	1.0628719530078694	2.3245561561458676	25	2.4557875379953438
FAAH2	FAAH2	6.12450414667776e-06	16285.0	6.713219217584149	0.46313730790047497	9741.0	1.001239810782212	1.7073585377968026	25	3.3455066878763198
NOS1	NOS1	1.43908829788352e-41	16284.0	6.6823829909968495	0.14306507698882412	13872.0	1.9802563168199279	2.7182137069122514	25	1.72985908437578
NOG	NOG	2.00408115453198e-14	16283.0	6.55992891956187	0.39504189322909955	11859.0	1.5720326013135406	2.095168932817033	25	2.380665463353314
CNTNAP4	CNTNAP4	9.707100407277e-31	16282.0	6.55381454245821	0.234806163171599	6303.0	0.9543557231948765	2.750078730290144	22	2.0361085512168473
SSTR5	SSTR5	0.000237388977578802	16281.0	6.428230264141999	0.022243512146228	16989.0	2.6126793090825364	2.6551859812324023	24	1.437018341475454
PXT1	PXT1	4.4361328566230895e-05	16280.0	6.40539758457221	0.599362084374974	2566.0	-0.8553655655214051	2.120947367430224	25	3.423358477250135
GABRA3	GABRA3	7.583063813822479e-33	16279.0	6.36472871427255	0.047427340897048	15993.0	3.005859987795379	4.117284925422978	24	0.8157970087853725
A2ML1	A2ML1	4.167024781482789e-73	16278.0	6.2761126679519705	0.0309188790490604	17288.0	3.70459481360771	1.9203620169568782	24	1.3390797316535366
GPR15	GPR15	0.000154804782066301	16277.0	6.2317217739055195	0.13458864933980902	15961.0	2.7430921951363647	2.4477686960089824	22	1.4252284476295765
SSTR5.AS1	SSTR5.AS1	0.000960811338514836	16276.0	6.0350173087383	0.17424930992072302	15057.0	1.90525705840344	2.12139464877389	24	1.9467194624638804
TBX3	TBX3	5.020831748265388e-103	16275.0	6.03065832460119	0.251172984851474	13344.0	2.0386557966371477	2.877499136663218	25	1.3873166726969781
XIST	XIST	0.21383697587219197	16274.0	5.89116774353291	0.47696846577945096	9998.0	1.928253541020114	3.3280020995778914	25	1.1907787567247732
TMEM178B	TMEM178B	9.260425096658189e-34	16273.0	5.86585576047725	0.402903448518323	11416.0	2.1524063111837797	2.3093451696932132	25	1.6080097068325159
IGFL2	IGFL2	0.00264576758239969	16272.0	5.636031055913941	0.40840038273901597	9904.0	0.8180988590171766	2.5851606545107986	24	1.863687731936522
LINC01545	LINC01545	1.04357029326166e-17	16271.0	5.62860201995149	0.8287782194201581	3540.0	-0.3870225786866742	1.9825680042319875	22	3.0342588934136026
UGT1A6	UGT1A6	5.3076290169070876e-139	16270.0	5.594472252609889	0.0870976676865377	16660.0	2.8880971758264136	2.715551521586161	24	0.9966207804456144
RPPH1	RPPH1	0.00034892375517848	16269.0	5.4957850901798295	0.0357567878374056	82.0	-0.8858197445421684	5.909137547438066	24	1.079955371404203
RD3	RD3	0.000160427271888706	16268.0	5.42731308608927	0.31631023538038444	14642.0	2.132161369906893	2.140639427109241	21	1.539330573123289
FPR3	FPR3	0.00622030764560184	16267.0	5.378359581929019	0.4870768737978455	14092.0	2.0181514329266323	1.5867410640585466	24	2.117678949083027
ALPP	ALPP	3.95991281379514e-07	16266.0	5.3497176983371295	0.008048381223809091	17480.0	5.956001244103509	5.4595842119072095	24	0.11104939904472774
REG1B	REG1B	0.00925939964387257	16265.0	5.32806939622367	0.0374560796776376	17222.0	3.6820717433237165	4.98466796922527	19	0.3302120949804765
MSX1	MSX1	3.08494268254486e-10	16264.0	5.23012521295285	0.191503385591067	15854.0	2.752519435966027	2.0919581758308814	25	1.184347663166244
FOXC2	FOXC2	2.40439288034401e-45	16263.0	5.22010972508771	0.262632851928163	15372.0	2.348397761684418	2.357764154943287	24	1.2179810085679952
TRIM21	TRIM21	1.8456730524719796e-61	16262.0	5.101348793207991	0.3308942366073435	10586.0	2.54907247700596	3.383490235980255	25	0.7543324018083335
ABCG2	ABCG2	2.3387199726874395e-37	16261.0	5.061171191665429	0.401221938533908	10908.0	1.4342517324052406	1.5123646696166486	25	2.398177854934639
NKX2.2	NKX2.2	1.75140060073701e-07	16260.0	5.05142432305972	0.004064998916196465	15699.0	2.1475693375988443	2.965808371965491	24	0.9791107924941364
ASIC2	ASIC2	0.0156162718187418	16259.0	5.0107433118230995	0.120761186766102	10590.0	1.4789397343898074	2.1378290120535897	24	1.6520514772323427
PRR15	PRR15	8.124855828588378e-57	16258.0	4.95837066892125	0.0450177855765926	15442.0	2.330117723432099	2.2222673975272627	25	1.1826897827028522
AFF2	AFF2	3.48205396974432e-06	16257.0	4.902854594195571	0.321394198132545	11480.0	1.283668101282094	1.5890342767803216	25	2.2776012738042506
LCK	LCK	1.74998529137983e-16	16256.0	4.88651361479522	0.27635786185780353	15853.0	2.831469114755931	1.802562908809695	25	1.1400681163445872
FRMD3	FRMD3	5.38806147943507e-30	16255.0	4.869362260809679	0.7007106249817965	6925.0	0.6016723512496509	2.0258594233754104	25	2.1066071319249606
HYAL4	HYAL4	0.0181850281958942	16254.0	4.86227301050709	0.311367102946554	13784.0	1.8678895102995232	1.9541338404416322	23	1.5323328618733911
ACTA2.AS1	ACTA2.AS1	0.011436857574014999	16253.0	4.83634984909953	0.17389091889559546	14676.0	3.125338305630474	3.1751954950104158	25	0.538868093683612
ADGRL4	ADGRL4	0.11794081068071902	16252.0	4.83369760177833	0.26324209559983003	11802.0	1.4390588691914519	2.7822737801566224	25	1.2200951454877256
RRM1	RRM1	3.81285855212099e-36	16251.0	4.8310858299712	0.49328308759703493	2929.0	-0.0044306366761323	1.5650731031278573	25	3.089642558538238
LEFTY1	LEFTY1	0.0312743535285457	16250.0	4.77497966592213	0.17824730354457602	17158.0	2.2702509367076207	2.7830965448175213	22	0.8999791020108993
RGS6	RGS6	0.0743368465713468	16249.0	4.737317740256441	0.43314712074180856	9982.0	0.8237217944317967	1.340709917427307	25	2.9190475097957487
KCNJ2.AS1	KCNJ2.AS1	0.0147898997156301	16248.0	4.69717846868933	0.593284322935637	6747.0	0.5388418436330352	1.3979482477278968	24	2.974599833588184
KRT9	KRT9	9.27985814256314e-26	16247.0	4.6794163511625895	0.0757910694349217	16908.0	3.9007978638102934	4.324677866220084	20	0.18004080568267508
ADAMTS18	ADAMTS18	0.0441452226117641	16246.0	4.67303326836896	0.08968967123538091	13764.0	2.0484087009860197	2.0115690583139534	23	1.3047648334692694
ADIRF	ADIRF	0.0420268337083027	16245.0	4.65862293642283	0.277225093043732	15663.0	3.009562967388086	3.1345325879815737	25	0.5260943769918267
FABP4	FABP4	4.62372343239276e-06	16244.0	4.652790626588719	0.553822370233446	15551.0	3.598109016675275	4.468259588326441	22	0.2360385714090682
CASP14	CASP14	0.0363757066137525	16243.0	4.60451058000699	0.264700732087408	15886.0	2.9922862951227733	2.9987572327168355	23	0.5376308116224409
TCP10L	TCP10L	0.0637651112403827	16242.0	4.55440374830842	0.328635422952402	10546.0	1.0546404631921837	1.5170853636496717	25	2.3068993802015276
PADI1	PADI1	3.3464768145069704e-09	16241.0	4.47862556475402	0.006943315365883371	17544.0	4.1271389467130195	2.0677644162147164	24	0.1699838798292299
PCDHB2	PCDHB2	2.39053071635153e-42	16240.0	4.454075554323951	0.2420981826851365	10003.0	1.269160091143132	1.743142130829402	25	1.8271117465707796
CA3	CA3	0.10283188554024801	16239.0	4.42456541236042	0.3973623567310625	15072.0	2.350334960472588	2.361525053875559	22	0.8783436146416315
APLN	APLN	1.07474560047076e-11	16238.0	4.42218996841445	0.112377575494459	15677.0	3.107585372950331	1.9509527265365052	25	0.6738269859556852
